delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qpsewlhns30yav3jfsv55a4fure36wgk98s8dn,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,30000.000000000000000000,ujuno,30000
juno1qzjkc0t42dufzchgukc3qjm23ttlm9qe6xrkg2,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,105000.000000000000000000,ujuno,105000
juno1qzkden27can3yfg5de73v7g9cjqxsk32wwtud6,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,11449677.000000000000000000,ujuno,11449677
juno1qzh9ek9u739q8my4hx9kywvwzwcpw747lr7kgv,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,37762686.000000000000000000,ujuno,37762686
juno1qr5dttjyacpzv9jadtljxumqfxt3n2xzu8syuk,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,2335515577.000000000000000000,ujuno,2335515577
juno1qr64x4848yzpa5zpjfu6m4jnmv62xay0avpkgh,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,60000000.000000000000000000,ujuno,60000000
juno1qy9syn2enzfufd0deydhpn9jmshc5vs6z2wvhv,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,4093852.000000000000000000,ujuno,4093852
juno1qy8dpfa6whp4ekhxdrkgsd2ny2gscglh9m6z2p,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,20000.000000000000000000,ujuno,20000
juno1qyssa2shj9tjc9ps8j5ly7z8q9jencx2t8s2kd,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,9883247.000000000000000000,ujuno,9883247
juno1qy53vdhucedzntnd8n5d7legx369yllxsmjh8p,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,25960000.000000000000000000,ujuno,25960000
juno1qy54a0n0qca3mc20ahcazg0fvq7td9szuppcpf,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,24000000000.000000000000000000,ujuno,24000000000
juno1qylmu92gtyqrlr506nnxwfrvsyx6rxp4c0jhar,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,520000000.000000000000000000,ujuno,520000000
juno1qxprregw2tvclv5ecg23u8cm8vwx500a2f089n,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,149900000.000000000000000000,ujuno,149900000
juno1qxtyxppvuqx4kvq8nvggk3gwcs9p29htuvz4vq,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,1000000.000000000000000000,ujuno,1000000
juno1q8s803f4s4kfc46h6jz7e36ha800slxmklg65q,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,2200000.000000000000000000,ujuno,2200000
juno1qgrmajh0900xe98993hvuf83f2z75g2y0qnp24,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,2568823.000000000000000000,ujuno,2568823
juno1qfpp2cy5852txqg3xhc38u9g5z89yf6dpmmhjk,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,51150000.000000000000000000,ujuno,51150000
juno1qf88wceklrk5ktkpkafrukjza2a4p7zq0v5y9z,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,5410000.000000000000000000,ujuno,5410000
juno1qf6u93zla4za0gy8ekjly8tfvpmpdgt6xmkxgr,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,100.000000000000000000,ujuno,100
juno1qfmvf8j4rmntwam3a2ejdd77selfhpa40pxghx,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,2000.000000000000000000,ujuno,2000
juno1q29qs2fz26futu35vvlg2jr7jrflcuwnjd23te,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,5100000.000000000000000000,ujuno,5100000
juno1q28nxfh7va0tpk4l0uhhkv7vavcs89gv3n3pks,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,6341284.000000000000000000,ujuno,6341284
juno1q2glzcjnxu8r3usulev7uqr0kq2md6k0kayjdy,junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,4500000.000000000000000000,ujuno,4500000
