# CSV-File created with merge-csv.com
# -----------------------------------------------------------

delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qqrnzytacq9gah4a8697lfr45wkmrzmpc2nw0l,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,25000000.000000000000000000,ujuno,25000000
juno1qq8efykd0sf2tnk3d9wmtf7f2nm56yetqrt3s4,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,1000.000000000000000000,ujuno,1000
juno1qqjmkf275wwaeevkkmqdk5xw2j7k5u5cn9ftly,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,40000000.000000000000000000,ujuno,40000000
juno1qqh7frl7vlsrap9vyl0ccwxfmq9rqz49zj22t5,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,22500000.000000000000000000,ujuno,22500000
juno1qqun94sdhrvypsqlpxxyl0lp5gx5wyqpa87m9t,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,29747174.000000000000000000,ujuno,29747174
juno1qql6ktzel26mhrarefd692x60syqxh8lrmmqp5,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,100000.000000000000000000,ujuno,100000
juno1qpqa9jfl7suaew963muedppnaljxqhm7qlhk7x,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,2220000.000000000000000000,ujuno,2220000
juno1qpwz9katv9jskk53mypcyvfglp6qstcdz3k5nq,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,35100000.000000000000000000,ujuno,35100000
juno1qp59nq03fvvwxdyujh60a5kucdezgrwd287ywe,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,12864603.000000000000000000,ujuno,12864603
juno1qphugv3hlnsadm9xagypvujd025zv9wdtsc75p,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10000.000000000000000000,ujuno,10000
juno1qp65y5hngc59cahsdemnyzqtwdz9kt5qd5ppyx,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,25000.000000000000000000,ujuno,25000
juno1qpac8q0ky745zmfpenc5cnn8jd24vzrn0nl8np,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,137500000.000000000000000000,ujuno,137500000
juno1qz8r0vg65m6nnch2w8m40varrm7d2kc7p8se2j,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,50000000.000000000000000000,ujuno,50000000
juno1qzvxkahrdls4yt2uqjn5pnqetwljqknngglp4v,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,25000069.000000000000000000,ujuno,25000069
juno1qzk94wy4u5ckwwpflwhk8taj95v82swgnuzwng,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10000.000000000000000000,ujuno,10000
juno1qz6rp0nnwk7rcwugecw7hgfllg9ppggd3hkdv6,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,29707539.000000000000000000,ujuno,29707539
juno1qz6kwjdrkfuclkgdtkqppdfka4t9kvah394pd2,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,1000.000000000000000000,ujuno,1000
juno1qr8wf9wn9a7u9fu6c8cj8u4dkrwplmhk2sevpt,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10000.000000000000000000,ujuno,10000
juno1qrg3rauzzrdcayfdhfyahylpm6fasavmrx0f5q,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,1046980.000000000000000000,ujuno,1046980
juno1qrsrnaxudcx9vy4uhvu35fl4m6zhmvgcfe2nty,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,9600000.000000000000000000,ujuno,9600000
juno1qr5xqvkewsk3hd59k7llwp5at4ss08x0xexusw,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10037865.000000000000000000,ujuno,10037865
juno1qr56gnj56j25mkg63jn2vq05tccqw6rqryjqdh,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,9177.000000000000000000,ujuno,9177
juno1qr4rmk8wd5num4gjk5wp5sd60hk49yjrfcqquj,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10000.000000000000000000,ujuno,10000
juno1qrm7gmd5uyvmxfy4xg48zxhe54jxrpy7c4phwn,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10000000.000000000000000000,ujuno,10000000
juno1qyqytwc2gt9nreh45hu7a5960c5u3tqf7k7wy7,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,5000000.000000000000000000,ujuno,5000000
juno1qyszsgjr8970wxgvuwzkh33mfjt0f6mnhh686d,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,570000.000000000000000000,ujuno,570000
juno1qy4jqtv9mgdsljr2aqrw836t5z2fleweha2hcc,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10000.000000000000000000,ujuno,10000
juno1qymaxfegj2smws3lptm6s2uwxwtmdvgr97nh3u,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10000.000000000000000000,ujuno,10000
juno1qy7vnq5vkulcnmhyn320za4q4x8rwlmxqp3q2s,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,34000000.000000000000000000,ujuno,34000000
juno1qylmu92gtyqrlr506nnxwfrvsyx6rxp4c0jhar,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,86000000.000000000000000000,ujuno,86000000
juno1q9yhmws797sneu34tak9735erv6ukk35d0hh56,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,6000000.000000000000000000,ujuno,6000000
juno1q9x4e97v9qzqkw9q9hc7n9drzagrj9mqjjsqg3,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,118526798.000000000000000000,ujuno,118526798
juno1q9852p2xyrxdst70kwt84ng970hq5qr8z57xh4,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,12040000.000000000000000000,ujuno,12040000
juno1q9gt2jqcqua7xyv39pkqwel5jg7f4taekyrr75,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,5575326.000000000000000000,ujuno,5575326
juno1q93xkwtfv7nut0eqjjws377wkjk9726505jxrl,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10000000.000000000000000000,ujuno,10000000
juno1q963002z2n6nyhl9ufu69t290auzf2dqmks65w,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10000.000000000000000000,ujuno,10000
juno1q97ygd2dfy967pzrv5ekzfjlux4ncelxrxfr79,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,8269.000000000000000000,ujuno,8269
juno1q97y0yr0pu4lld9fy7vecamrth7n8d6z3z8cxm,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,20000000.000000000000000000,ujuno,20000000
juno1q97xkreqsdsdr4c59ts4a6hdz0exd6temhym52,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,1000.000000000000000000,ujuno,1000
juno1q9l6nvn5g3gnllft3shwepz6wln3zww8c827rz,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,530.000000000000000000,ujuno,530
juno1qx9fgerym3a958cjufhrhe7yv7eenq0qqdz7pq,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,11000000.000000000000000000,ujuno,11000000
juno1qx9v8urkktjjeqfua37e95lqadw7x27htfrems,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,13400459.000000000000000000,ujuno,13400459
juno1qxx3df20649h7edyxzk7g9uynvhl4yd9lqrmr3,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,1500000.000000000000000000,ujuno,1500000
juno1qxwlpvqx0xv9jlsxy9we4vxmj7jp4hcv9h76qt,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10000.000000000000000000,ujuno,10000
juno1qxsphrjvf6delmgd8hdjw24klktwq4tt9kq3u8,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,30000.000000000000000000,ujuno,30000
juno1qxs2vlqq8jr5udxdtqk9j648557m78ghwxk4qx,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,13073384.000000000000000000,ujuno,13073384
juno1qx3jc7l5jdp4jd2hac9p27rp8l8uw0ug6kfhh6,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,105244.000000000000000000,ujuno,105244
juno1qx3emj3dxfkadehz7m2px8xsq95yl0m3cqgc3u,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,276000000.000000000000000000,ujuno,276000000
juno1qx4wc4p9r7n0mwcgsh2zgc4vcnht3c5jnj2cya,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,10000.000000000000000000,ujuno,10000
juno1q8kg0fcswmtkcr863t8xscrnqptsssedw855fk,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,1675178.000000000000000000,ujuno,1675178
juno1q87mdf03vmz0qdvh2wl3wkp5274n7lxujjlkxs,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,11157369.000000000000000000,ujuno,11157369
juno1qggq0f0pkk45sqmwme2crqsvt4stuymtm623sv,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,540000.000000000000000000,ujuno,540000
